Event label	cm	AGE [ka BP]	Cibicidoides wuellerstorfi, d18O [per mil PDB]	Cibicidoides wuellerstorfi, d13C [per mil PDB]
GeoB9528-3	0.5	6.95	2.87	0.27
	2.5	7.33	2.56	0.28
	5	7.82	2.87	0.82
	7.5	8.3	2.7	0.87
	10	8.78	2.77	0.96
	12.5	9.27	2.77	0.91
	15	9.75	2.74	0.86
	17.5	10.23	2.95	0.67
	20	10.72	2.89	0.9
	22.5	11.2	2.97	0.86
	25	11.68	3.51	0.33
	27.5	12.16	3.99	0.42
	30	12.65	3.62	0.48
	32.5	13.13	3.68	0.73
	35	13.61	3.61	0.44
	37.5	14.05	4.19	0.39
	40	14.28	4.21	0.08
	42.5	14.51	3.66	0.27
	45	14.74	4.65	0.29
	47.5	14.98	4.61	0.26
	50	15.21	4.05	0.34
	52.5	15.44	4.58	0.18
	60	16.14	4.57	0.33
	62.5	16.37	4.56	-0.21
	65	16.6	4.64	0.23
	72.5	17.31	4.48	0.23
	80	18.23	4.61	0.27
	82.5	18.53	4.59	0.25
	85	18.83	4.5	0.21
	87.5	19.14	4.68	0.39
	90	19.44	4.55	0.28
	92.5	19.75	4.59	0.4
	97.5	20.36	4.46	0.35
	100	20.66	4.5	0.32
	102.5	20.97	4.36	0.16
	105	21.27	4.38	0.39
	107.5	21.58	4.49	0.3
	110	21.88	4.41	0.27
	112.5	22.18	4.48	0.44
	115	22.49	4.48	0.43
	117.5	22.79	4.36	0.42
	120	23.1	4.2	0.44
	122.5	23.4	4.16	0.26
	125	23.71	4.14	-0.08
	127.5	24.01	4.26	0.42
	135	24.92	4.41	0.45
	137.5	25.23	4.38	0.45
	152.5	27.06	4.26	0.41
	157.5	27.66	4.19	0.47
	160	27.97	4.11	0.56
	162.5	28.27	4.33	0.58
	172.5	29.49	4.1	0.35
	180	30.41	4.21	0.35
	182.5	30.71	3.81	0.27
	185	31.01	4.25	0.59
	190	31.62	4.06	0.42
	192.5	31.93	4.09	0.37
	195	32.23	4.19	0.48
	197.5	32.54	4.14	0.76
	200	32.84	3.94	0.5
	202.5	33.15	4	0.86
	205	33.45	4.12	0.65
	212.5	34.36	4.09	0.4
	222.5	35.58	4.13	0.62
	225	35.89	3.99	0.22
	227.5	36.19	3.97	0.44
	232.5	36.8	4.16	0.39
	240	37.71	3.84	0.54
	245	38.32	4.1	0.35
	247.5	38.63	4.27	0.38
	250	38.93	4.1	0.14
	252.5	39.24	3.73	0.14
	255	39.54	4.25	0.05
	257.5	39.84	4.16	0.83
	262.5	40.45	4.23	0.69
	265	40.76	4.18	0.6
	270	41.37	3.82	-0.11
	275	41.98	3.96	0.64
	277.5	42.28	4.12	0.37
	280	42.58	4.18	0.86
	282.5	42.89	4.15	0.49
	287.5	43.5	3.69	0.59
	290	43.8	3.98	0.37
	295	44.42	3.96	0.2
	297.5	44.74	3.91	0.75
	300	45.06	3.84	-0.1
	302.5	45.39	4.15	0.67
	307.5	46.03	4.02	0.65
	310	46.35	3.74	0.4
	315	47	4.11	0.68
	317.5	47.32	4.28	0.85
	320	47.65	4.13	0.51
	322.5	48.01	3.82	0.87
	325	48.38	4.1	0.82
	327.5	48.75	3.98	0.33
	330	49.11	4.11	0.54
	332.5	49.48	3.99	0.78
	335	49.85	3.99	0.46
	337.5	50.22	3.83	0.74
	340	50.58	4.04	0.37
	342.5	50.91	3.91	0.52
	345	51.74	3.68	0.11
	347.5	52.5	3.86	0.5
	350	53.25	4.14	0.18
	352.5	54	4.01	0.46
	355	54.62	3.98	0.46
	357.5	54.81	4.09	0.54
	360	55	3.9	0.36
	365	55.38	4.01	0.65
	367.5	55.57	3.98	0.38
	370	55.76	4.02	0.48
	375	56.14	3.97	0.42
	377.5	56.33	3.89	0.84
	380	56.52	3.78	0.28
	382.5	56.75	3.89	0.38
	385	57.1	4.06	-0.47
	387.5	57.44	4.01	0.09
	392.5	58.13	3.98	0.09
	395	58.48	4.1	0.04
	397.5	58.83	4.24	-0.45
	400	59.17	4.22	-0.23
	402.5	59.52	4.2	-0.01
	405	59.86	4.16	0.26
	407.5	60.21	4.18	-0.21
	410	60.55	3.82	-0.11
	412.5	60.9	4.21	-0.05
	415	61.24	4.27	0
	417.5	61.59	4.3	-0.45
	420	61.93	4.29	-0.01
	422.5	62.28	4.28	-0.03
	425	62.62	4.05	-0.04
	427.5	62.97	4.09	-0.76
	430	63.32	4.19	-0.09
	432.5	63.66	4.23	0.05
	435	64.01	4.31	0.01
	440	64.7	4.19	0.16
	442.5	65.04	4.18	0.11
	445	65.39	4	-0.29
	447.5	65.73	4.08	-0.12
	452.5	66.42	4.31	0.21
	455	66.77	4.27	0.25
	472.5	69.19	4	-0.01
	477.5	69.88	4.17	0.2
	490	71.6	4.07	0.7
	507.5	74.02	3.94	0.17
	512.5	74.71	4.01	0.09
	515	75.06	3.85	0.68
	517.5	75.4	4.07	0.67
	520	75.75	3.94	0.38
	522.5	76.09	3.83	0.67
	525	76.44	3.62	0.75
	527.5	76.78	3.78	0.59
	530	77.13	3.7	0.15
	532.5	77.47	3.62	0.51
	535	77.82	3.62	0.68
	537.5	78.17	3.61	0.6
	540	78.51	3.68	0.42
	542.5	78.86	3.68	0.63
	545	79.2	3.57	0.84
	547.5	79.55	3.64	0.57
	550	79.89	3.44	0.79
